Name,Price,VC,Cover Art,URL
Alter World,1.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/alter-world-3ds/boxart,www.nintendo.com/games/detail/alter-world-3ds/
Ambition of the Slimes,5, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/ambition-of-the-slimes-3ds/boxart,www.nintendo.com/games/detail/ambition-of-the-slimes-3ds/
Angler's Club: Ultimate Bass Fishing 3D,29.95, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/anglers-club-ultimate-bass-fishing-3d-3ds/boxart,www.nintendo.com/games/detail/anglers-club-ultimate-bass-fishing-3d-3ds/
Angry Birds Trilogy,, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/angry-birds-trilogy-3ds/boxart,www.nintendo.com/games/detail/angry-birds-trilogy-3ds/
Angry Bunnies,1.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/angry-bunnies-3ds/boxart,www.nintendo.com/games/detail/angry-bunnies-3ds/
Angry Video Game Nerd Adventures,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/angry-video-game-nerd-adventures-3ds/boxart,www.nintendo.com/games/detail/angry-video-game-nerd-adventures-3ds/
Anime Workshop,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/anime-workshop-3ds/boxart,www.nintendo.com/games/detail/anime-workshop-3ds/
Another World - 20th Anniversary Edition,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/another-world-20th-anniversary-edition-3ds/boxart,www.nintendo.com/games/detail/another-world-20th-anniversary-edition-3ds/
Apollo Justice: Ace Attorney,19.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/apollo-justice-ace-attorney-3ds/boxart,www.nintendo.com/games/detail/apollo-justice-ace-attorney-3ds/
Aqua Moto Racing 3D,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/aqua-moto-racing-3d-3ds/boxart,www.nintendo.com/games/detail/aqua-moto-racing-3d-3ds/
ARC STYLE: Baseball 3D,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/arc-style-baseball-3d-3ds/boxart,www.nintendo.com/games/detail/arc-style-baseball-3d-3ds/
ARC STYLE: Soccer 3D,6.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/arc-style-soccer-3d-3ds/boxart,www.nintendo.com/games/detail/arc-style-soccer-3d-3ds/
ARC STYLE: Solitaire,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/arc-style-solitaire-3ds/boxart,www.nintendo.com/games/detail/arc-style-solitaire-3ds/
Art of Balance TOUCH!,6.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/art-of-balance-touch-3ds/boxart,www.nintendo.com/games/detail/art-of-balance-touch-3ds/
Ascent of Kings,2.49, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/ascent-of-kings-3ds/boxart,www.nintendo.com/games/detail/ascent-of-kings-3ds/
Asdivine Cross,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/asdivine-cross-3ds/boxart,www.nintendo.com/games/detail/asdivine-cross-3ds/
ASH,3.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/ash-3ds/boxart,www.nintendo.com/games/detail/ash-3ds/
Asterix The Mansions of the Gods,34.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/asterix-the-mansions-of-the-gods-3ds/boxart,www.nintendo.com/games/detail/asterix-the-mansions-of-the-gods-3ds/
Astro,, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/astro-3ds/boxart,www.nintendo.com/games/detail/astro-3ds/
Atlantic Quest,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/atlantic-quest-3ds/boxart,www.nintendo.com/games/detail/atlantic-quest-3ds/
Atlantis-6,0.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/atlantis-6-3ds/boxart,www.nintendo.com/games/detail/atlantis-6-3ds/
A-Train 3D: City Simulator,19.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/a-train-3d-city-simulator-3ds/boxart,www.nintendo.com/games/detail/a-train-3d-city-simulator-3ds/
Attack of the Friday Monsters! A Tokyo Tale,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/attack-of-the-friday-monsters-a-tokyo-tale-3ds/boxart,www.nintendo.com/games/detail/attack-of-the-friday-monsters-a-tokyo-tale-3ds/
ATV Wild Ride 3D,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/atv-wild-ride-3d-3ds/boxart,www.nintendo.com/games/detail/atv-wild-ride-3d-3ds/
